multiple,0.100000
RUNID,BUFFERTIME,COUNT,COLLECTTIME,BAND
TOA,Delta TOA,PW,power,angle
BUFFER 1, 1001.000000, 1024, 0, 1
   117.000,    0.000, 0.3, 1.4, 3.0
   234.000,  117.000, 0.3, 1.4, 3.0
   351.000,  117.000, 0.3, 1.4, 3.0
   468.000,  117.000, 0.3, 1.4, 3.0
   585.000,  117.000, 0.3, 1.4, 3.0
   702.000,  117.000, 0.3, 1.4, 3.0
   819.000,  117.000, 0.3, 1.4, 3.0
   936.000,  117.000, 0.3, 1.4, 3.0
  1053.000,  117.000, 0.3, 1.4, 3.0
  1170.000,  117.000, 0.3, 1.4, 3.0
  1242.000,   72.000, 0.3, 1.4, 3.0
  1314.000,   72.000, 0.3, 1.4, 3.0
  1386.000,   72.000, 0.3, 1.4, 3.0
  1458.000,   72.000, 0.3, 1.4, 3.0
  1530.000,   72.000, 0.3, 1.4, 3.0
  1602.000,   72.000, 0.3, 1.4, 3.0
  1674.000,   72.000, 0.3, 1.4, 3.0
  1746.000,   72.000, 0.3, 1.4, 3.0
  1818.000,   72.000, 0.3, 1.4, 3.0
  1890.000,   72.000, 0.3, 1.4, 3.0
  2034.000,  144.000, 0.3, 1.4, 3.0
  2178.000,  144.000, 0.3, 1.4, 3.0
  2322.000,  144.000, 0.3, 1.4, 3.0
  2466.000,  144.000, 0.3, 1.4, 3.0
  2610.000,  144.000, 0.3, 1.4, 3.0
  2754.000,  144.000, 0.3, 1.4, 3.0
  2898.000,  144.000, 0.3, 1.4, 3.0
  3042.000,  144.000, 0.3, 1.4, 3.0
  3186.000,  144.000, 0.3, 1.4, 3.0
  3330.000,  144.000, 0.3, 1.4, 3.0
  3375.000,   45.000, 0.3, 1.4, 3.0
  3420.000,   45.000, 0.3, 1.4, 3.0
  3465.000,   45.000, 0.3, 1.4, 3.0
  3510.000,   45.000, 0.3, 1.4, 3.0
  3555.000,   45.000, 0.3, 1.4, 3.0
  3600.000,   45.000, 0.3, 1.4, 3.0
  3645.000,   45.000, 0.3, 1.4, 3.0
  3690.000,   45.000, 0.3, 1.4, 3.0
  3735.000,   45.000, 0.3, 1.4, 3.0
  3780.000,   45.000, 0.3, 1.4, 3.0
  3987.000,  207.000, 0.3, 1.4, 3.0
  4194.000,  207.000, 0.3, 1.4, 3.0
  4401.000,  207.000, 0.3, 1.4, 3.0
  4608.000,  207.000, 0.3, 1.4, 3.0
  4815.000,  207.000, 0.3, 1.4, 3.0
  5022.000,  207.000, 0.3, 1.4, 3.0
  5229.000,  207.000, 0.3, 1.4, 3.0
  5436.000,  207.000, 0.3, 1.4, 3.0
  5643.000,  207.000, 0.3, 1.4, 3.0
  5850.000,  207.000, 0.3, 1.4, 3.0
  6165.000,  315.000, 0.3, 1.4, 3.0
  6480.000,  315.000, 0.3, 1.4, 3.0
  6795.000,  315.000, 0.3, 1.4, 3.0
  7110.000,  315.000, 0.3, 1.4, 3.0
  7425.000,  315.000, 0.3, 1.4, 3.0
  7740.000,  315.000, 0.3, 1.4, 3.0
  8055.000,  315.000, 0.3, 1.4, 3.0
  8370.000,  315.000, 0.3, 1.4, 3.0
  8685.000,  315.000, 0.3, 1.4, 3.0
  9000.000,  315.000, 0.3, 1.4, 3.0
  9144.000,  144.000, 0.3, 1.4, 3.0
  9288.000,  144.000, 0.3, 1.4, 3.0
  9432.000,  144.000, 0.3, 1.4, 3.0
  9576.000,  144.000, 0.3, 1.4, 3.0
  9720.000,  144.000, 0.3, 1.4, 3.0
  9864.000,  144.000, 0.3, 1.4, 3.0
 10008.000,  144.000, 0.3, 1.4, 3.0
 10152.000,  144.000, 0.3, 1.4, 3.0
 10296.000,  144.000, 0.3, 1.4, 3.0
 10440.000,  144.000, 0.3, 1.4, 3.0
 10566.000,  126.000, 0.3, 1.4, 3.0
 10692.000,  126.000, 0.3, 1.4, 3.0
 10818.000,  126.000, 0.3, 1.4, 3.0
 10944.000,  126.000, 0.3, 1.4, 3.0
 11070.000,  126.000, 0.3, 1.4, 3.0
 11196.000,  126.000, 0.3, 1.4, 3.0
 11322.000,  126.000, 0.3, 1.4, 3.0
 11448.000,  126.000, 0.3, 1.4, 3.0
 11574.000,  126.000, 0.3, 1.4, 3.0
 11700.000,  126.000, 0.3, 1.4, 3.0
 11817.000,  117.000, 0.3, 1.4, 3.0
 11934.000,  117.000, 0.3, 1.4, 3.0
 12051.000,  117.000, 0.3, 1.4, 3.0
 12168.000,  117.000, 0.3, 1.4, 3.0
 12285.000,  117.000, 0.3, 1.4, 3.0
 12402.000,  117.000, 0.3, 1.4, 3.0
 12519.000,  117.000, 0.3, 1.4, 3.0
 12636.000,  117.000, 0.3, 1.4, 3.0
 12753.000,  117.000, 0.3, 1.4, 3.0
 12870.000,  117.000, 0.3, 1.4, 3.0
 12942.000,   72.000, 0.3, 1.4, 3.0
 13014.000,   72.000, 0.3, 1.4, 3.0
 13086.000,   72.000, 0.3, 1.4, 3.0
 13158.000,   72.000, 0.3, 1.4, 3.0
 13230.000,   72.000, 0.3, 1.4, 3.0
 13302.000,   72.000, 0.3, 1.4, 3.0
 13374.000,   72.000, 0.3, 1.4, 3.0
 13446.000,   72.000, 0.3, 1.4, 3.0
 13518.000,   72.000, 0.3, 1.4, 3.0
 13590.000,   72.000, 0.3, 1.4, 3.0
 13734.000,  144.000, 0.3, 1.4, 3.0
 13878.000,  144.000, 0.3, 1.4, 3.0
 14022.000,  144.000, 0.3, 1.4, 3.0
 14166.000,  144.000, 0.3, 1.4, 3.0
 14310.000,  144.000, 0.3, 1.4, 3.0
 14454.000,  144.000, 0.3, 1.4, 3.0
 14598.000,  144.000, 0.3, 1.4, 3.0
 14742.000,  144.000, 0.3, 1.4, 3.0
 14886.000,  144.000, 0.3, 1.4, 3.0
 15030.000,  144.000, 0.3, 1.4, 3.0
 15075.000,   45.000, 0.3, 1.4, 3.0
 15120.000,   45.000, 0.3, 1.4, 3.0
 15165.000,   45.000, 0.3, 1.4, 3.0
 15210.000,   45.000, 0.3, 1.4, 3.0
 15255.000,   45.000, 0.3, 1.4, 3.0
 15300.000,   45.000, 0.3, 1.4, 3.0
 15345.000,   45.000, 0.3, 1.4, 3.0
 15390.000,   45.000, 0.3, 1.4, 3.0
 15435.000,   45.000, 0.3, 1.4, 3.0
 15480.000,   45.000, 0.3, 1.4, 3.0
 15687.000,  207.000, 0.3, 1.4, 3.0
 15894.000,  207.000, 0.3, 1.4, 3.0
 16101.000,  207.000, 0.3, 1.4, 3.0
 16308.000,  207.000, 0.3, 1.4, 3.0
 16515.000,  207.000, 0.3, 1.4, 3.0
 16722.000,  207.000, 0.3, 1.4, 3.0
 16929.000,  207.000, 0.3, 1.4, 3.0
 17136.000,  207.000, 0.3, 1.4, 3.0
 17343.000,  207.000, 0.3, 1.4, 3.0
 17550.000,  207.000, 0.3, 1.4, 3.0
