multiple,0.100000
RUNID,BUFFERTIME,COUNT,COLLECTTIME,BAND
TOA,Delta TOA,PW,power,angle
BUFFER 1, 1001.000000, 1024, 0, 1
    79.000,    0.000, 0.4, 1.7, 34.0
   162.000,   83.000, 0.3, 1.4, 57.0
   459.000,  297.000, 0.3, 1.4, 57.0
   972.000,  513.000, 0.3, 1.4, 57.0
  1593.000,  621.000, 0.3, 1.4, 57.0
  1755.000,  162.000, 0.3, 1.4, 57.0
  2052.000,  297.000, 0.3, 1.4, 57.0
  2565.000,  513.000, 0.3, 1.4, 57.0
  3186.000,  621.000, 0.3, 1.4, 57.0
  3348.000,  162.000, 0.3, 1.4, 57.0
  3645.000,  297.000, 0.3, 1.4, 57.0
  4158.000,  513.000, 0.3, 1.4, 57.0
  4779.000,  621.000, 0.3, 1.4, 57.0
  4941.000,  162.000, 0.3, 1.4, 57.0
  5238.000,  297.000, 0.3, 1.4, 57.0
  5751.000,  513.000, 0.3, 1.4, 57.0
  6372.000,  621.000, 0.3, 1.4, 57.0
  6534.000,  162.000, 0.3, 1.4, 57.0
  6831.000,  297.000, 0.3, 1.4, 57.0
  7344.000,  513.000, 0.3, 1.4, 57.0
  7965.000,  621.000, 0.3, 1.4, 57.0
  8127.000,  162.000, 0.3, 1.4, 57.0
  8424.000,  297.000, 0.3, 1.4, 57.0
  8937.000,  513.000, 0.3, 1.4, 57.0
  9558.000,  621.000, 0.3, 1.4, 57.0
  9720.000,  162.000, 0.3, 1.4, 57.0
 10017.000,  297.000, 0.3, 1.4, 57.0
 10530.000,  513.000, 0.3, 1.4, 57.0
 11151.000,  621.000, 0.3, 1.4, 57.0
 11313.000,  162.000, 0.3, 1.4, 57.0
 11610.000,  297.000, 0.3, 1.4, 57.0
 12123.000,  513.000, 0.3, 1.4, 57.0
 12744.000,  621.000, 0.3, 1.4, 57.0
 12906.000,  162.000, 0.3, 1.4, 57.0
 13203.000,  297.000, 0.3, 1.4, 57.0
 13716.000,  513.000, 0.3, 1.4, 57.0
 14337.000,  621.000, 0.3, 1.4, 57.0
 14499.000,  162.000, 0.3, 1.4, 57.0
 14796.000,  297.000, 0.3, 1.4, 57.0
 15309.000,  513.000, 0.3, 1.4, 57.0
 15930.000,  621.000, 0.3, 1.4, 57.0
 16092.000,  162.000, 0.3, 1.4, 57.0
 16389.000,  297.000, 0.3, 1.4, 57.0
 16902.000,  513.000, 0.3, 1.4, 57.0
 17523.000,  621.000, 0.3, 1.4, 57.0
 17685.000,  162.000, 0.3, 1.4, 57.0
 17982.000,  297.000, 0.3, 1.4, 57.0
 18495.000,  513.000, 0.3, 1.4, 57.0
 19116.000,  621.000, 0.3, 1.4, 57.0
 19278.000,  162.000, 0.3, 1.4, 57.0
 19575.000,  297.000, 0.3, 1.4, 57.0
 20088.000,  513.000, 0.3, 1.4, 57.0
 20709.000,  621.000, 0.3, 1.4, 57.0
 20871.000,  162.000, 0.3, 1.4, 57.0
 21168.000,  297.000, 0.3, 1.4, 57.0
 21681.000,  513.000, 0.3, 1.4, 57.0
 22302.000,  621.000, 0.3, 1.4, 57.0
 22464.000,  162.000, 0.3, 1.4, 57.0
 22761.000,  297.000, 0.3, 1.4, 57.0
 23274.000,  513.000, 0.3, 1.4, 57.0
 23895.000,  621.000, 0.3, 1.4, 57.0
 24057.000,  162.000, 0.3, 1.4, 57.0
 24354.000,  297.000, 0.3, 1.4, 57.0
 24867.000,  513.000, 0.3, 1.4, 57.0
 25488.000,  621.000, 0.3, 1.4, 57.0
 25650.000,  162.000, 0.3, 1.4, 57.0
 25947.000,  297.000, 0.3, 1.4, 57.0
 26460.000,  513.000, 0.3, 1.4, 57.0
 27081.000,  621.000, 0.3, 1.4, 57.0
 27243.000,  162.000, 0.3, 1.4, 57.0
 27540.000,  297.000, 0.3, 1.4, 57.0
 28053.000,  513.000, 0.3, 1.4, 57.0
 28674.000,  621.000, 0.3, 1.4, 57.0
 28836.000,  162.000, 0.3, 1.4, 57.0
 29133.000,  297.000, 0.3, 1.4, 57.0
 29646.000,  513.000, 0.3, 1.4, 57.0
 30267.000,  621.000, 0.3, 1.4, 57.0
 30429.000,  162.000, 0.3, 1.4, 57.0
 30726.000,  297.000, 0.3, 1.4, 57.0
 31239.000,  513.000, 0.3, 1.4, 57.0
 31860.000,  621.000, 0.3, 1.4, 57.0
 32022.000,  162.000, 0.3, 1.4, 57.0
 32319.000,  297.000, 0.3, 1.4, 57.0
 32832.000,  513.000, 0.3, 1.4, 57.0
 33453.000,  621.000, 0.3, 1.4, 57.0
 33615.000,  162.000, 0.3, 1.4, 57.0
 33912.000,  297.000, 0.3, 1.4, 57.0
 34425.000,  513.000, 0.3, 1.4, 57.0
 35046.000,  621.000, 0.3, 1.4, 57.0
 35208.000,  162.000, 0.3, 1.4, 57.0
 35505.000,  297.000, 0.3, 1.4, 57.0
 36018.000,  513.000, 0.3, 1.4, 57.0
 36639.000,  621.000, 0.3, 1.4, 57.0
 36801.000,  162.000, 0.3, 1.4, 57.0
 37098.000,  297.000, 0.3, 1.4, 57.0
 37611.000,  513.000, 0.3, 1.4, 57.0
 38232.000,  621.000, 0.3, 1.4, 57.0
 38394.000,  162.000, 0.3, 1.4, 57.0
 38691.000,  297.000, 0.3, 1.4, 57.0
 39204.000,  513.000, 0.3, 1.4, 57.0
 39825.000,  621.000, 0.3, 1.4, 57.0
 39987.000,  162.000, 0.3, 1.4, 57.0
 40284.000,  297.000, 0.3, 1.4, 57.0
 40797.000,  513.000, 0.3, 1.4, 57.0
 41418.000,  621.000, 0.3, 1.4, 57.0
 41580.000,  162.000, 0.3, 1.4, 57.0
 41877.000,  297.000, 0.3, 1.4, 57.0
 42390.000,  513.000, 0.3, 1.4, 57.0
 43011.000,  621.000, 0.3, 1.4, 57.0
 43173.000,  162.000, 0.3, 1.4, 57.0
 43470.000,  297.000, 0.3, 1.4, 57.0
 43983.000,  513.000, 0.3, 1.4, 57.0
 44604.000,  621.000, 0.3, 1.4, 57.0
 44766.000,  162.000, 0.3, 1.4, 57.0
 45063.000,  297.000, 0.3, 1.4, 57.0
 45576.000,  513.000, 0.3, 1.4, 57.0
 46197.000,  621.000, 0.3, 1.4, 57.0
 46359.000,  162.000, 0.3, 1.4, 57.0
 46656.000,  297.000, 0.3, 1.4, 57.0
 47169.000,  513.000, 0.3, 1.4, 57.0
 47790.000,  621.000, 0.3, 1.4, 57.0
 47952.000,  162.000, 0.3, 1.4, 57.0
 48249.000,  297.000, 0.3, 1.4, 57.0
 48762.000,  513.000, 0.3, 1.4, 57.0
 49383.000,  621.000, 0.3, 1.4, 57.0
 49545.000,  162.000, 0.3, 1.4, 57.0
 49842.000,  297.000, 0.3, 1.4, 57.0
 50355.000,  513.000, 0.3, 1.4, 57.0
 50976.000,  621.000, 0.3, 1.4, 57.0
 51138.000,  162.000, 0.3, 1.4, 57.0
