multiple,0.100000
RUNID,BUFFERTIME,COUNT,COLLECTTIME,BAND
TOA,Delta TOA,PW,power,angle
BUFFER 1, 1001.000000, 1024, 0, 1
   382.400,    0.000, 0.5, 1.9, 37.0
   741.100,  358.700, 0.5, 1.9, 37.0
  1143.200,  402.100, 0.5, 1.9, 37.0
  1549.300,  406.100, 0.5, 1.9, 37.0
  1884.300,  335.000, 0.5, 1.9, 37.0
  2290.400,  406.100, 0.5, 1.9, 37.0
  2633.300,  342.900, 0.5, 1.9, 37.0
  3027.500,  394.200, 0.5, 1.9, 37.0
  3362.600,  335.100, 0.5, 1.9, 37.0
  3693.700,  331.100, 0.5, 1.9, 37.0
  4048.500,  354.800, 0.5, 1.9, 37.0
  4407.200,  358.700, 0.5, 1.9, 37.0
  4773.800,  366.600, 0.5, 1.9, 37.0
  5168.000,  394.200, 0.5, 1.9, 37.0
  5499.100,  331.100, 0.5, 1.9, 37.0
  5857.900,  358.800, 0.5, 1.9, 37.0
  6200.800,  342.900, 0.5, 1.9, 37.0
  6563.500,  362.700, 0.5, 1.9, 37.0
  6914.300,  350.800, 0.5, 1.9, 37.0
  7284.900,  370.600, 0.5, 1.9, 37.0
  7675.100,  390.200, 0.5, 1.9, 37.0
  8018.100,  343.000, 0.5, 1.9, 37.0
  8372.900,  354.800, 0.5, 1.9, 37.0
  8739.500,  366.600, 0.5, 1.9, 37.0
  9145.500,  406.000, 0.5, 1.9, 37.0
  9527.900,  382.400, 0.5, 1.9, 37.0
  9866.900,  339.000, 0.5, 1.9, 37.0
 10269.000,  402.100, 0.5, 1.9, 37.0
 10647.400,  378.400, 0.5, 1.9, 37.0
 11045.500,  398.100, 0.5, 1.9, 37.0
 11408.200,  362.700, 0.5, 1.9, 37.0
 11747.200,  339.000, 0.5, 1.9, 37.0
 12133.500,  386.300, 0.5, 1.9, 37.0
 12476.500,  343.000, 0.5, 1.9, 37.0
 12874.600,  398.100, 0.5, 1.9, 37.0
 13209.700,  335.100, 0.5, 1.9, 37.0
 13603.900,  394.200, 0.5, 1.9, 37.0
 13978.400,  374.500, 0.5, 1.9, 37.0
 14368.600,  390.200, 0.5, 1.9, 37.0
 14743.100,  374.500, 0.5, 1.9, 37.0
 15129.400,  386.300, 0.5, 1.9, 37.0
 15515.800,  386.400, 0.5, 1.9, 37.0
 15866.600,  350.800, 0.5, 1.9, 37.0
 16197.700,  331.100, 0.5, 1.9, 37.0
 16536.700,  339.000, 0.5, 1.9, 37.0
 16883.600,  346.900, 0.5, 1.9, 37.0
 17281.800,  398.200, 0.5, 1.9, 37.0
 17672.000,  390.200, 0.5, 1.9, 37.0
 18011.000,  339.000, 0.5, 1.9, 37.0
 18346.100,  335.100, 0.5, 1.9, 37.0
 18720.600,  374.500, 0.5, 1.9, 37.0
 19122.700,  402.100, 0.5, 1.9, 37.0
 19520.800,  398.100, 0.5, 1.9, 37.0
 19899.300,  378.500, 0.5, 1.9, 37.0
 20289.500,  390.200, 0.5, 1.9, 37.0
 20624.600,  335.100, 0.5, 1.9, 37.0
 21014.900,  390.300, 0.5, 1.9, 37.0
 21377.500,  362.600, 0.5, 1.9, 37.0
 21748.100,  370.600, 0.5, 1.9, 37.0
 22130.400,  382.300, 0.5, 1.9, 37.0
 22497.000,  366.600, 0.5, 1.9, 37.0
 22832.100,  335.100, 0.5, 1.9, 37.0
 23214.500,  382.400, 0.5, 1.9, 37.0
 23620.500,  406.000, 0.5, 1.9, 37.0
 23983.200,  362.700, 0.5, 1.9, 37.0
 24314.300,  331.100, 0.5, 1.9, 37.0
 24712.400,  398.100, 0.5, 1.9, 37.0
 25094.800,  382.400, 0.5, 1.9, 37.0
 25433.800,  339.000, 0.5, 1.9, 37.0
 25835.900,  402.100, 0.5, 1.9, 37.0
 26186.800,  350.900, 0.5, 1.9, 37.0
 26533.700,  346.900, 0.5, 1.9, 37.0
 26880.500,  346.800, 0.5, 1.9, 37.0
 27219.600,  339.100, 0.5, 1.9, 37.0
 27558.600,  339.000, 0.5, 1.9, 37.0
 27921.200,  362.600, 0.5, 1.9, 37.0
 28256.300,  335.100, 0.5, 1.9, 37.0
 28646.600,  390.300, 0.5, 1.9, 37.0
 29044.700,  398.100, 0.5, 1.9, 37.0
 29387.700,  343.000, 0.5, 1.9, 37.0
 29789.700,  402.000, 0.5, 1.9, 37.0
 30148.500,  358.800, 0.5, 1.9, 37.0
 30554.500,  406.000, 0.5, 1.9, 37.0
 30948.700,  394.200, 0.5, 1.9, 37.0
 31331.100,  382.400, 0.5, 1.9, 37.0
 31689.800,  358.700, 0.5, 1.9, 37.0
 32056.400,  366.600, 0.5, 1.9, 37.0
 32446.700,  390.300, 0.5, 1.9, 37.0
 32825.100,  378.400, 0.5, 1.9, 37.0
 33199.600,  374.500, 0.5, 1.9, 37.0
 33578.000,  378.400, 0.5, 1.9, 37.0
 33909.100,  331.100, 0.5, 1.9, 37.0
 34240.300,  331.200, 0.5, 1.9, 37.0
 34642.300,  402.000, 0.5, 1.9, 37.0
 35024.700,  382.400, 0.5, 1.9, 37.0
 35359.800,  335.100, 0.5, 1.9, 37.0
 35726.400,  366.600, 0.5, 1.9, 37.0
 36108.800,  382.400, 0.5, 1.9, 37.0
 36495.100,  386.300, 0.5, 1.9, 37.0
 36838.000,  342.900, 0.5, 1.9, 37.0
 37244.100,  406.100, 0.5, 1.9, 37.0
 37634.300,  390.200, 0.5, 1.9, 37.0
 37973.300,  339.000, 0.5, 1.9, 37.0
 38355.700,  382.400, 0.5, 1.9, 37.0
 38738.100,  382.400, 0.5, 1.9, 37.0
 39073.200,  335.100, 0.5, 1.9, 37.0
 39463.400,  390.200, 0.5, 1.9, 37.0
 39837.900,  374.500, 0.5, 1.9, 37.0
 40208.400,  370.500, 0.5, 1.9, 37.0
 40614.500,  406.100, 0.5, 1.9, 37.0
 40992.900,  378.400, 0.5, 1.9, 37.0
 41343.700,  350.800, 0.5, 1.9, 37.0
 41710.400,  366.700, 0.5, 1.9, 37.0
 42116.400,  406.000, 0.5, 1.9, 37.0
 42522.400,  406.000, 0.5, 1.9, 37.0
 42869.300,  346.900, 0.5, 1.9, 37.0
 43204.400,  335.100, 0.5, 1.9, 37.0
 43610.400,  406.000, 0.5, 1.9, 37.0
 43945.500,  335.100, 0.5, 1.9, 37.0
 44288.400,  342.900, 0.5, 1.9, 37.0
 44623.500,  335.100, 0.5, 1.9, 37.0
 44974.300,  350.800, 0.5, 1.9, 37.0
 45321.200,  346.900, 0.5, 1.9, 37.0
 45660.200,  339.000, 0.5, 1.9, 37.0
 46007.100,  346.900, 0.5, 1.9, 37.0
 46397.400,  390.300, 0.5, 1.9, 37.0
 46736.400,  339.000, 0.5, 1.9, 37.0
 47126.700,  390.300, 0.5, 1.9, 37.0
 47457.800,  331.100, 0.5, 1.9, 37.0
 47820.500,  362.700, 0.5, 1.9, 37.0
