multiple,0.100000
RUNID,BUFFERTIME,COUNT,COLLECTTIME,BAND
TOA,Delta TOA,PW,power,angle
BUFFER 1, 1001.000000, 1024, 0, 1
    69.000,    0.000, 0.4, 1.7, 34.0
   138.000,   69.000, 0.4, 1.7, 34.0
   207.000,   69.000, 0.4, 1.7, 34.0
   276.000,   69.000, 0.4, 1.7, 34.0
   345.000,   69.000, 0.4, 1.7, 34.0
   414.000,   69.000, 0.4, 1.7, 34.0
   483.000,   69.000, 0.4, 1.7, 34.0
   552.000,   69.000, 0.4, 1.7, 34.0
   621.000,   69.000, 0.4, 1.7, 34.0
   690.000,   69.000, 0.4, 1.7, 34.0
   759.000,   69.000, 0.4, 1.7, 34.0
   828.000,   69.000, 0.4, 1.7, 34.0
   897.000,   69.000, 0.4, 1.7, 34.0
   966.000,   69.000, 0.4, 1.7, 34.0
  1035.000,   69.000, 0.4, 1.7, 34.0
  1104.000,   69.000, 0.4, 1.7, 34.0
  1173.000,   69.000, 0.4, 1.7, 34.0
  1242.000,   69.000, 0.4, 1.7, 34.0
  1311.000,   69.000, 0.4, 1.7, 34.0
  1380.000,   69.000, 0.4, 1.7, 34.0
  1449.000,   69.000, 0.4, 1.7, 34.0
  1518.000,   69.000, 0.4, 1.7, 34.0
  1587.000,   69.000, 0.4, 1.7, 34.0
  1656.000,   69.000, 0.4, 1.7, 34.0
  1725.000,   69.000, 0.4, 1.7, 34.0
  1794.000,   69.000, 0.4, 1.7, 34.0
  1863.000,   69.000, 0.4, 1.7, 34.0
  1932.000,   69.000, 0.4, 1.7, 34.0
  2001.000,   69.000, 0.4, 1.7, 34.0
  2070.000,   69.000, 0.4, 1.7, 34.0
  2231.000,  161.000, 0.4, 1.7, 34.0
  2392.000,  161.000, 0.4, 1.7, 34.0
  2553.000,  161.000, 0.4, 1.7, 34.0
  2714.000,  161.000, 0.4, 1.7, 34.0
  2875.000,  161.000, 0.4, 1.7, 34.0
  3036.000,  161.000, 0.4, 1.7, 34.0
  3197.000,  161.000, 0.4, 1.7, 34.0
  3358.000,  161.000, 0.4, 1.7, 34.0
  3519.000,  161.000, 0.4, 1.7, 34.0
  3680.000,  161.000, 0.4, 1.7, 34.0
  3841.000,  161.000, 0.4, 1.7, 34.0
  4002.000,  161.000, 0.4, 1.7, 34.0
  4163.000,  161.000, 0.4, 1.7, 34.0
  4324.000,  161.000, 0.4, 1.7, 34.0
  4485.000,  161.000, 0.4, 1.7, 34.0
  4646.000,  161.000, 0.4, 1.7, 34.0
  4807.000,  161.000, 0.4, 1.7, 34.0
  4968.000,  161.000, 0.4, 1.7, 34.0
  5129.000,  161.000, 0.4, 1.7, 34.0
  5290.000,  161.000, 0.4, 1.7, 34.0
  5451.000,  161.000, 0.4, 1.7, 34.0
  5612.000,  161.000, 0.4, 1.7, 34.0
  5773.000,  161.000, 0.4, 1.7, 34.0
  5934.000,  161.000, 0.4, 1.7, 34.0
  6095.000,  161.000, 0.4, 1.7, 34.0
  6256.000,  161.000, 0.4, 1.7, 34.0
  6417.000,  161.000, 0.4, 1.7, 34.0
  6578.000,  161.000, 0.4, 1.7, 34.0
  6739.000,  161.000, 0.4, 1.7, 34.0
  6900.000,  161.000, 0.4, 1.7, 34.0
  6946.000,   46.000, 0.4, 1.7, 34.0
  6992.000,   46.000, 0.4, 1.7, 34.0
  7038.000,   46.000, 0.4, 1.7, 34.0
  7084.000,   46.000, 0.4, 1.7, 34.0
  7130.000,   46.000, 0.4, 1.7, 34.0
  7176.000,   46.000, 0.4, 1.7, 34.0
  7222.000,   46.000, 0.4, 1.7, 34.0
  7268.000,   46.000, 0.4, 1.7, 34.0
  7314.000,   46.000, 0.4, 1.7, 34.0
  7360.000,   46.000, 0.4, 1.7, 34.0
  7406.000,   46.000, 0.4, 1.7, 34.0
  7452.000,   46.000, 0.4, 1.7, 34.0
  7498.000,   46.000, 0.4, 1.7, 34.0
  7544.000,   46.000, 0.4, 1.7, 34.0
  7590.000,   46.000, 0.4, 1.7, 34.0
  7636.000,   46.000, 0.4, 1.7, 34.0
  7682.000,   46.000, 0.4, 1.7, 34.0
  7728.000,   46.000, 0.4, 1.7, 34.0
  7774.000,   46.000, 0.4, 1.7, 34.0
  7820.000,   46.000, 0.4, 1.7, 34.0
  7866.000,   46.000, 0.4, 1.7, 34.0
  7912.000,   46.000, 0.4, 1.7, 34.0
  7958.000,   46.000, 0.4, 1.7, 34.0
  8004.000,   46.000, 0.4, 1.7, 34.0
  8050.000,   46.000, 0.4, 1.7, 34.0
  8096.000,   46.000, 0.4, 1.7, 34.0
  8142.000,   46.000, 0.4, 1.7, 34.0
  8188.000,   46.000, 0.4, 1.7, 34.0
  8234.000,   46.000, 0.4, 1.7, 34.0
  8280.000,   46.000, 0.4, 1.7, 34.0
  8602.000,  322.000, 0.4, 1.7, 34.0
  8924.000,  322.000, 0.4, 1.7, 34.0
  9246.000,  322.000, 0.4, 1.7, 34.0
  9568.000,  322.000, 0.4, 1.7, 34.0
  9890.000,  322.000, 0.4, 1.7, 34.0
 10212.000,  322.000, 0.4, 1.7, 34.0
 10534.000,  322.000, 0.4, 1.7, 34.0
 10856.000,  322.000, 0.4, 1.7, 34.0
 11178.000,  322.000, 0.4, 1.7, 34.0
 11500.000,  322.000, 0.4, 1.7, 34.0
 11822.000,  322.000, 0.4, 1.7, 34.0
 12144.000,  322.000, 0.4, 1.7, 34.0
 12466.000,  322.000, 0.4, 1.7, 34.0
 12788.000,  322.000, 0.4, 1.7, 34.0
 13110.000,  322.000, 0.4, 1.7, 34.0
 13432.000,  322.000, 0.4, 1.7, 34.0
 13754.000,  322.000, 0.4, 1.7, 34.0
 14076.000,  322.000, 0.4, 1.7, 34.0
 14398.000,  322.000, 0.4, 1.7, 34.0
 14720.000,  322.000, 0.4, 1.7, 34.0
 15042.000,  322.000, 0.4, 1.7, 34.0
 15364.000,  322.000, 0.4, 1.7, 34.0
 15686.000,  322.000, 0.4, 1.7, 34.0
 16008.000,  322.000, 0.4, 1.7, 34.0
 16330.000,  322.000, 0.4, 1.7, 34.0
 16652.000,  322.000, 0.4, 1.7, 34.0
 16974.000,  322.000, 0.4, 1.7, 34.0
 17296.000,  322.000, 0.4, 1.7, 34.0
 17618.000,  322.000, 0.4, 1.7, 34.0
 17940.000,  322.000, 0.4, 1.7, 34.0
 18055.000,  115.000, 0.4, 1.7, 34.0
 18170.000,  115.000, 0.4, 1.7, 34.0
 18285.000,  115.000, 0.4, 1.7, 34.0
 18400.000,  115.000, 0.4, 1.7, 34.0
 18515.000,  115.000, 0.4, 1.7, 34.0
 18630.000,  115.000, 0.4, 1.7, 34.0
 18745.000,  115.000, 0.4, 1.7, 34.0
 18860.000,  115.000, 0.4, 1.7, 34.0
 18975.000,  115.000, 0.4, 1.7, 34.0
 19090.000,  115.000, 0.4, 1.7, 34.0
