multiple,0.100000
RUNID,BUFFERTIME,COUNT,COLLECTTIME,BAND
TOA,Delta TOA,PW,power,angle
BUFFER 1, 1001.000000, 1024, 0, 1
   230.000,    0.000, 0.6, 2.3, 46.0
   920.000,  690.000, 0.6, 2.3, 46.0
  1150.000,  230.000, 0.6, 2.3, 46.0
  1840.000,  690.000, 0.6, 2.3, 46.0
  2070.000,  230.000, 0.6, 2.3, 46.0
  2760.000,  690.000, 0.6, 2.3, 46.0
  2990.000,  230.000, 0.6, 2.3, 46.0
  3680.000,  690.000, 0.6, 2.3, 46.0
  3910.000,  230.000, 0.6, 2.3, 46.0
  4600.000,  690.000, 0.6, 2.3, 46.0
  4830.000,  230.000, 0.6, 2.3, 46.0
  5520.000,  690.000, 0.6, 2.3, 46.0
  5750.000,  230.000, 0.6, 2.3, 46.0
  6440.000,  690.000, 0.6, 2.3, 46.0
  6670.000,  230.000, 0.6, 2.3, 46.0
  7360.000,  690.000, 0.6, 2.3, 46.0
  7590.000,  230.000, 0.6, 2.3, 46.0
  8280.000,  690.000, 0.6, 2.3, 46.0
  8510.000,  230.000, 0.6, 2.3, 46.0
  9200.000,  690.000, 0.6, 2.3, 46.0
  9430.000,  230.000, 0.6, 2.3, 46.0
 10120.000,  690.000, 0.6, 2.3, 46.0
 10350.000,  230.000, 0.6, 2.3, 46.0
 11040.000,  690.000, 0.6, 2.3, 46.0
 11270.000,  230.000, 0.6, 2.3, 46.0
 11960.000,  690.000, 0.6, 2.3, 46.0
 12190.000,  230.000, 0.6, 2.3, 46.0
 12880.000,  690.000, 0.6, 2.3, 46.0
 13110.000,  230.000, 0.6, 2.3, 46.0
 13800.000,  690.000, 0.6, 2.3, 46.0
 14030.000,  230.000, 0.6, 2.3, 46.0
 14720.000,  690.000, 0.6, 2.3, 46.0
 14950.000,  230.000, 0.6, 2.3, 46.0
 15640.000,  690.000, 0.6, 2.3, 46.0
 15870.000,  230.000, 0.6, 2.3, 46.0
 16560.000,  690.000, 0.6, 2.3, 46.0
 16790.000,  230.000, 0.6, 2.3, 46.0
 17480.000,  690.000, 0.6, 2.3, 46.0
 17710.000,  230.000, 0.6, 2.3, 46.0
 18400.000,  690.000, 0.6, 2.3, 46.0
 18630.000,  230.000, 0.6, 2.3, 46.0
 19320.000,  690.000, 0.6, 2.3, 46.0
 19550.000,  230.000, 0.6, 2.3, 46.0
 20240.000,  690.000, 0.6, 2.3, 46.0
 20470.000,  230.000, 0.6, 2.3, 46.0
 21160.000,  690.000, 0.6, 2.3, 46.0
 21390.000,  230.000, 0.6, 2.3, 46.0
 22080.000,  690.000, 0.6, 2.3, 46.0
 22310.000,  230.000, 0.6, 2.3, 46.0
 23000.000,  690.000, 0.6, 2.3, 46.0
 23230.000,  230.000, 0.6, 2.3, 46.0
 23920.000,  690.000, 0.6, 2.3, 46.0
 24150.000,  230.000, 0.6, 2.3, 46.0
 24840.000,  690.000, 0.6, 2.3, 46.0
 25070.000,  230.000, 0.6, 2.3, 46.0
 25760.000,  690.000, 0.6, 2.3, 46.0
 25990.000,  230.000, 0.6, 2.3, 46.0
 26680.000,  690.000, 0.6, 2.3, 46.0
 26910.000,  230.000, 0.6, 2.3, 46.0
 27600.000,  690.000, 0.6, 2.3, 46.0
 27830.000,  230.000, 0.6, 2.3, 46.0
 28520.000,  690.000, 0.6, 2.3, 46.0
 28750.000,  230.000, 0.6, 2.3, 46.0
 29440.000,  690.000, 0.6, 2.3, 46.0
 29670.000,  230.000, 0.6, 2.3, 46.0
 30360.000,  690.000, 0.6, 2.3, 46.0
 30590.000,  230.000, 0.6, 2.3, 46.0
 31280.000,  690.000, 0.6, 2.3, 46.0
 31510.000,  230.000, 0.6, 2.3, 46.0
 32200.000,  690.000, 0.6, 2.3, 46.0
 32430.000,  230.000, 0.6, 2.3, 46.0
 33120.000,  690.000, 0.6, 2.3, 46.0
 33350.000,  230.000, 0.6, 2.3, 46.0
 34040.000,  690.000, 0.6, 2.3, 46.0
 34270.000,  230.000, 0.6, 2.3, 46.0
 34960.000,  690.000, 0.6, 2.3, 46.0
 35190.000,  230.000, 0.6, 2.3, 46.0
 35880.000,  690.000, 0.6, 2.3, 46.0
 36110.000,  230.000, 0.6, 2.3, 46.0
 36800.000,  690.000, 0.6, 2.3, 46.0
 37030.000,  230.000, 0.6, 2.3, 46.0
 37720.000,  690.000, 0.6, 2.3, 46.0
 37950.000,  230.000, 0.6, 2.3, 46.0
 38640.000,  690.000, 0.6, 2.3, 46.0
 38870.000,  230.000, 0.6, 2.3, 46.0
 39560.000,  690.000, 0.6, 2.3, 46.0
 39790.000,  230.000, 0.6, 2.3, 46.0
 40480.000,  690.000, 0.6, 2.3, 46.0
 40710.000,  230.000, 0.6, 2.3, 46.0
 41400.000,  690.000, 0.6, 2.3, 46.0
 41630.000,  230.000, 0.6, 2.3, 46.0
 42320.000,  690.000, 0.6, 2.3, 46.0
 42550.000,  230.000, 0.6, 2.3, 46.0
 43240.000,  690.000, 0.6, 2.3, 46.0
 43470.000,  230.000, 0.6, 2.3, 46.0
 44160.000,  690.000, 0.6, 2.3, 46.0
 44390.000,  230.000, 0.6, 2.3, 46.0
 45080.000,  690.000, 0.6, 2.3, 46.0
 45310.000,  230.000, 0.6, 2.3, 46.0
 46000.000,  690.000, 0.6, 2.3, 46.0
 46230.000,  230.000, 0.6, 2.3, 46.0
 46920.000,  690.000, 0.6, 2.3, 46.0
 47150.000,  230.000, 0.6, 2.3, 46.0
 47840.000,  690.000, 0.6, 2.3, 46.0
 48070.000,  230.000, 0.6, 2.3, 46.0
 48760.000,  690.000, 0.6, 2.3, 46.0
 48990.000,  230.000, 0.6, 2.3, 46.0
 49680.000,  690.000, 0.6, 2.3, 46.0
 49910.000,  230.000, 0.6, 2.3, 46.0
 50600.000,  690.000, 0.6, 2.3, 46.0
 50830.000,  230.000, 0.6, 2.3, 46.0
 51520.000,  690.000, 0.6, 2.3, 46.0
 51750.000,  230.000, 0.6, 2.3, 46.0
 52440.000,  690.000, 0.6, 2.3, 46.0
 52670.000,  230.000, 0.6, 2.3, 46.0
 53360.000,  690.000, 0.6, 2.3, 46.0
 53590.000,  230.000, 0.6, 2.3, 46.0
 54280.000,  690.000, 0.6, 2.3, 46.0
 54510.000,  230.000, 0.6, 2.3, 46.0
 55200.000,  690.000, 0.6, 2.3, 46.0
 55430.000,  230.000, 0.6, 2.3, 46.0
 56120.000,  690.000, 0.6, 2.3, 46.0
 56350.000,  230.000, 0.6, 2.3, 46.0
 57040.000,  690.000, 0.6, 2.3, 46.0
 57270.000,  230.000, 0.6, 2.3, 46.0
 57960.000,  690.000, 0.6, 2.3, 46.0
 58190.000,  230.000, 0.6, 2.3, 46.0
 58880.000,  690.000, 0.6, 2.3, 46.0
 59110.000,  230.000, 0.6, 2.3, 46.0
 59800.000,  690.000, 0.6, 2.3, 46.0
