multiple,0.100000
RUNID,BUFFERTIME,COUNT,COLLECTTIME,BAND
TOA,Delta TOA,PW,power,angle
BUFFER 1, 1001.000000, 1024, 0, 1
   255.000,    0.000, 0.5, 1.8, 40.0
   510.000,  255.000, 0.5, 1.8, 40.0
   765.000,  255.000, 0.5, 1.8, 40.0
  1020.000,  255.000, 0.5, 1.8, 40.0
  1275.000,  255.000, 0.5, 1.8, 40.0
  1530.000,  255.000, 0.5, 1.8, 40.0
  1785.000,  255.000, 0.5, 1.8, 40.0
  2040.000,  255.000, 0.5, 1.8, 40.0
  2295.000,  255.000, 0.5, 1.8, 40.0
  2550.000,  255.000, 0.5, 1.8, 40.0
  2805.000,  255.000, 0.5, 1.8, 40.0
  3060.000,  255.000, 0.5, 1.8, 40.0
  3315.000,  255.000, 0.5, 1.8, 40.0
  3570.000,  255.000, 0.5, 1.8, 40.0
  3825.000,  255.000, 0.5, 1.8, 40.0
  4080.000,  255.000, 0.5, 1.8, 40.0
  4335.000,  255.000, 0.5, 1.8, 40.0
  4590.000,  255.000, 0.5, 1.8, 40.0
  4845.000,  255.000, 0.5, 1.8, 40.0
  5100.000,  255.000, 0.5, 1.8, 40.0
  5355.000,  255.000, 0.5, 1.8, 40.0
  5610.000,  255.000, 0.5, 1.8, 40.0
  5865.000,  255.000, 0.5, 1.8, 40.0
  6120.000,  255.000, 0.5, 1.8, 40.0
  6375.000,  255.000, 0.5, 1.8, 40.0
  6630.000,  255.000, 0.5, 1.8, 40.0
  6885.000,  255.000, 0.5, 1.8, 40.0
  7140.000,  255.000, 0.5, 1.8, 40.0
  7395.000,  255.000, 0.5, 1.8, 40.0
  7650.000,  255.000, 0.5, 1.8, 40.0
  7905.000,  255.000, 0.5, 1.8, 40.0
  8160.000,  255.000, 0.5, 1.8, 40.0
  8415.000,  255.000, 0.5, 1.8, 40.0
  8670.000,  255.000, 0.5, 1.8, 40.0
  8925.000,  255.000, 0.5, 1.8, 40.0
  9180.000,  255.000, 0.5, 1.8, 40.0
  9435.000,  255.000, 0.5, 1.8, 40.0
  9690.000,  255.000, 0.5, 1.8, 40.0
  9945.000,  255.000, 0.5, 1.8, 40.0
 10200.000,  255.000, 0.5, 1.8, 40.0
 10455.000,  255.000, 0.5, 1.8, 40.0
 10710.000,  255.000, 0.5, 1.8, 40.0
 10965.000,  255.000, 0.5, 1.8, 40.0
 11220.000,  255.000, 0.5, 1.8, 40.0
 11475.000,  255.000, 0.5, 1.8, 40.0
 11730.000,  255.000, 0.5, 1.8, 40.0
 11985.000,  255.000, 0.5, 1.8, 40.0
 12240.000,  255.000, 0.5, 1.8, 40.0
 12495.000,  255.000, 0.5, 1.8, 40.0
 12750.000,  255.000, 0.5, 1.8, 40.0
 13005.000,  255.000, 0.5, 1.8, 40.0
 13260.000,  255.000, 0.5, 1.8, 40.0
 13515.000,  255.000, 0.5, 1.8, 40.0
 13770.000,  255.000, 0.5, 1.8, 40.0
 14025.000,  255.000, 0.5, 1.8, 40.0
 14280.000,  255.000, 0.5, 1.8, 40.0
 14535.000,  255.000, 0.5, 1.8, 40.0
 14790.000,  255.000, 0.5, 1.8, 40.0
 15045.000,  255.000, 0.5, 1.8, 40.0
 15300.000,  255.000, 0.5, 1.8, 40.0
 15555.000,  255.000, 0.5, 1.8, 40.0
 15810.000,  255.000, 0.5, 1.8, 40.0
 16065.000,  255.000, 0.5, 1.8, 40.0
 16320.000,  255.000, 0.5, 1.8, 40.0
 16575.000,  255.000, 0.5, 1.8, 40.0
 16830.000,  255.000, 0.5, 1.8, 40.0
 17085.000,  255.000, 0.5, 1.8, 40.0
 17340.000,  255.000, 0.5, 1.8, 40.0
 17595.000,  255.000, 0.5, 1.8, 40.0
 17850.000,  255.000, 0.5, 1.8, 40.0
 18105.000,  255.000, 0.5, 1.8, 40.0
 18360.000,  255.000, 0.5, 1.8, 40.0
 18615.000,  255.000, 0.5, 1.8, 40.0
 18870.000,  255.000, 0.5, 1.8, 40.0
 19125.000,  255.000, 0.5, 1.8, 40.0
 19380.000,  255.000, 0.5, 1.8, 40.0
 19635.000,  255.000, 0.5, 1.8, 40.0
 19890.000,  255.000, 0.5, 1.8, 40.0
 20145.000,  255.000, 0.5, 1.8, 40.0
 20400.000,  255.000, 0.5, 1.8, 40.0
 20655.000,  255.000, 0.5, 1.8, 40.0
 20910.000,  255.000, 0.5, 1.8, 40.0
 21165.000,  255.000, 0.5, 1.8, 40.0
 21420.000,  255.000, 0.5, 1.8, 40.0
 21675.000,  255.000, 0.5, 1.8, 40.0
 21930.000,  255.000, 0.5, 1.8, 40.0
 22185.000,  255.000, 0.5, 1.8, 40.0
 22440.000,  255.000, 0.5, 1.8, 40.0
 22695.000,  255.000, 0.5, 1.8, 40.0
 22950.000,  255.000, 0.5, 1.8, 40.0
 23205.000,  255.000, 0.5, 1.8, 40.0
 23460.000,  255.000, 0.5, 1.8, 40.0
 23715.000,  255.000, 0.5, 1.8, 40.0
 23970.000,  255.000, 0.5, 1.8, 40.0
 24225.000,  255.000, 0.5, 1.8, 40.0
 24480.000,  255.000, 0.5, 1.8, 40.0
 24735.000,  255.000, 0.5, 1.8, 40.0
 24990.000,  255.000, 0.5, 1.8, 40.0
 25245.000,  255.000, 0.5, 1.8, 40.0
 25500.000,  255.000, 0.5, 1.8, 40.0
 25755.000,  255.000, 0.5, 1.8, 40.0
 26010.000,  255.000, 0.5, 1.8, 40.0
 26265.000,  255.000, 0.5, 1.8, 40.0
 26520.000,  255.000, 0.5, 1.8, 40.0
 26775.000,  255.000, 0.5, 1.8, 40.0
 27030.000,  255.000, 0.5, 1.8, 40.0
 27285.000,  255.000, 0.5, 1.8, 40.0
 27540.000,  255.000, 0.5, 1.8, 40.0
 27795.000,  255.000, 0.5, 1.8, 40.0
 28050.000,  255.000, 0.5, 1.8, 40.0
 28305.000,  255.000, 0.5, 1.8, 40.0
 28560.000,  255.000, 0.5, 1.8, 40.0
 28815.000,  255.000, 0.5, 1.8, 40.0
 29070.000,  255.000, 0.5, 1.8, 40.0
 29325.000,  255.000, 0.5, 1.8, 40.0
 29580.000,  255.000, 0.5, 1.8, 40.0
 29835.000,  255.000, 0.5, 1.8, 40.0
 30090.000,  255.000, 0.5, 1.8, 40.0
 30345.000,  255.000, 0.5, 1.8, 40.0
 30600.000,  255.000, 0.5, 1.8, 40.0
 30855.000,  255.000, 0.5, 1.8, 40.0
 31110.000,  255.000, 0.5, 1.8, 40.0
 31365.000,  255.000, 0.5, 1.8, 40.0
 31620.000,  255.000, 0.5, 1.8, 40.0
 31875.000,  255.000, 0.5, 1.8, 40.0
 32130.000,  255.000, 0.5, 1.8, 40.0
 32385.000,  255.000, 0.5, 1.8, 40.0
 32640.000,  255.000, 0.5, 1.8, 40.0
 32895.000,  255.000, 0.5, 1.8, 40.0
 33150.000,  255.000, 0.5, 1.8, 40.0
