Time of Arrival,Delta Time of Arrival,Pulse Width,Power,Angle
920,690,0.6,2.3,46
1150,230,0.6,2.3,46
1840,690,0.6,2.3,46
2070,230,0.6,2.3,46
2760,690,0.6,2.3,46
2990,230,0.6,2.3,46
3680,690,0.6,2.3,46
3910,230,0.6,2.3,46
4600,690,0.6,2.3,46
4830,230,0.6,2.3,46
5520,690,0.6,2.3,46
5750,230,0.6,2.3,46
6440,690,0.6,2.3,46
6670,230,0.6,2.3,46
7360,690,0.6,2.3,46
7590,230,0.6,2.3,46
8280,690,0.6,2.3,46
8510,230,0.6,2.3,46
9200,690,0.6,2.3,46
9430,230,0.6,2.3,46
10120,690,0.6,2.3,46
10350,230,0.6,2.3,46
11040,690,0.6,2.3,46
11270,230,0.6,2.3,46
11960,690,0.6,2.3,46
12190,230,0.6,2.3,46
12880,690,0.6,2.3,46
13110,230,0.6,2.3,46
13800,690,0.6,2.3,46
14030,230,0.6,2.3,46
14720,690,0.6,2.3,46
14950,230,0.6,2.3,46
15640,690,0.6,2.3,46
15870,230,0.6,2.3,46
16560,690,0.6,2.3,46
16790,230,0.6,2.3,46
17480,690,0.6,2.3,46
17710,230,0.6,2.3,46
18400,690,0.6,2.3,46
18630,230,0.6,2.3,46
19320,690,0.6,2.3,46
19550,230,0.6,2.3,46
20240,690,0.6,2.3,46
20470,230,0.6,2.3,46
21160,690,0.6,2.3,46
21390,230,0.6,2.3,46
22080,690,0.6,2.3,46
22310,230,0.6,2.3,46
23000,690,0.6,2.3,46
23230,230,0.6,2.3,46
23920,690,0.6,2.3,46
24150,230,0.6,2.3,46
24840,690,0.6,2.3,46
25070,230,0.6,2.3,46
25760,690,0.6,2.3,46
25990,230,0.6,2.3,46
26680,690,0.6,2.3,46
26910,230,0.6,2.3,46
27600,690,0.6,2.3,46
27830,230,0.6,2.3,46
28520,690,0.6,2.3,46
28750,230,0.6,2.3,46
29440,690,0.6,2.3,46
29670,230,0.6,2.3,46
30360,690,0.6,2.3,46
30590,230,0.6,2.3,46
31280,690,0.6,2.3,46
31510,230,0.6,2.3,46
32200,690,0.6,2.3,46
32430,230,0.6,2.3,46
33120,690,0.6,2.3,46
33350,230,0.6,2.3,46
34040,690,0.6,2.3,46
34270,230,0.6,2.3,46
34960,690,0.6,2.3,46
35190,230,0.6,2.3,46
35880,690,0.6,2.3,46
36110,230,0.6,2.3,46
36800,690,0.6,2.3,46
37030,230,0.6,2.3,46
37720,690,0.6,2.3,46
37950,230,0.6,2.3,46
38640,690,0.6,2.3,46
38870,230,0.6,2.3,46
39560,690,0.6,2.3,46
39790,230,0.6,2.3,46
40480,690,0.6,2.3,46
40710,230,0.6,2.3,46
41400,690,0.6,2.3,46
41630,230,0.6,2.3,46
42320,690,0.6,2.3,46
42550,230,0.6,2.3,46
43240,690,0.6,2.3,46
43470,230,0.6,2.3,46
44160,690,0.6,2.3,46
44390,230,0.6,2.3,46
45080,690,0.6,2.3,46
45310,230,0.6,2.3,46
46000,690,0.6,2.3,46
46230,230,0.6,2.3,46
46920,690,0.6,2.3,46
47150,230,0.6,2.3,46
47840,690,0.6,2.3,46
48070,230,0.6,2.3,46
48760,690,0.6,2.3,46
48990,230,0.6,2.3,46
49680,690,0.6,2.3,46
49910,230,0.6,2.3,46
50600,690,0.6,2.3,46
50830,230,0.6,2.3,46
51520,690,0.6,2.3,46
51750,230,0.6,2.3,46
52440,690,0.6,2.3,46
52670,230,0.6,2.3,46
53360,690,0.6,2.3,46
53590,230,0.6,2.3,46
54280,690,0.6,2.3,46
54510,230,0.6,2.3,46
55200,690,0.6,2.3,46
55430,230,0.6,2.3,46
56120,690,0.6,2.3,46
56350,230,0.6,2.3,46
57040,690,0.6,2.3,46
57270,230,0.6,2.3,46
57960,690,0.6,2.3,46
58190,230,0.6,2.3,46
58880,690,0.6,2.3,46
59110,230,0.6,2.3,46
59800,690,0.6,2.3,46
60030,230,0.6,2.3,46
60720,690,0.6,2.3,46
60950,230,0.6,2.3,46
61640,690,0.6,2.3,46
61870,230,0.6,2.3,46
62560,690,0.6,2.3,46
62790,230,0.6,2.3,46
63480,690,0.6,2.3,46
63710,230,0.6,2.3,46
64400,690,0.6,2.3,46
64630,230,0.6,2.3,46
65320,690,0.6,2.3,46
65550,230,0.6,2.3,46
66240,690,0.6,2.3,46
66470,230,0.6,2.3,46
67160,690,0.6,2.3,46
67390,230,0.6,2.3,46
68080,690,0.6,2.3,46
68310,230,0.6,2.3,46
69000,690,0.6,2.3,46
69230,230,0.6,2.3,46
69920,690,0.6,2.3,46
70150,230,0.6,2.3,46
70840,690,0.6,2.3,46
71070,230,0.6,2.3,46
71760,690,0.6,2.3,46
71990,230,0.6,2.3,46
72680,690,0.6,2.3,46
72910,230,0.6,2.3,46
73600,690,0.6,2.3,46
73830,230,0.6,2.3,46
74520,690,0.6,2.3,46
74750,230,0.6,2.3,46
75440,690,0.6,2.3,46
75670,230,0.6,2.3,46
76360,690,0.6,2.3,46
76590,230,0.6,2.3,46
77280,690,0.6,2.3,46
77510,230,0.6,2.3,46
78200,690,0.6,2.3,46
78430,230,0.6,2.3,46
79120,690,0.6,2.3,46
79350,230,0.6,2.3,46
80040,690,0.6,2.3,46
80270,230,0.6,2.3,46
80960,690,0.6,2.3,46
81190,230,0.6,2.3,46
81880,690,0.6,2.3,46
82110,230,0.6,2.3,46
82800,690,0.6,2.3,46
83030,230,0.6,2.3,46
83720,690,0.6,2.3,46
83950,230,0.6,2.3,46
84640,690,0.6,2.3,46
84870,230,0.6,2.3,46
85560,690,0.6,2.3,46
85790,230,0.6,2.3,46
86480,690,0.6,2.3,46
86710,230,0.6,2.3,46
87400,690,0.6,2.3,46
87630,230,0.6,2.3,46
88320,690,0.6,2.3,46
88550,230,0.6,2.3,46
89240,690,0.6,2.3,46
89470,230,0.6,2.3,46
90160,690,0.6,2.3,46
90390,230,0.6,2.3,46
91080,690,0.6,2.3,46
91310,230,0.6,2.3,46
92000,690,0.6,2.3,46
92230,230,0.6,2.3,46
92920,690,0.6,2.3,46
93150,230,0.6,2.3,46
93840,690,0.6,2.3,46
94070,230,0.6,2.3,46
94760,690,0.6,2.3,46
94990,230,0.6,2.3,46
95680,690,0.6,2.3,46
95910,230,0.6,2.3,46
96600,690,0.6,2.3,46
96830,230,0.6,2.3,46
97520,690,0.6,2.3,46
97750,230,0.6,2.3,46
98440,690,0.6,2.3,46
98670,230,0.6,2.3,46
99360,690,0.6,2.3,46
99590,230,0.6,2.3,46
100280,690,0.6,2.3,46
100510,230,0.6,2.3,46
101200,690,0.6,2.3,46
101430,230,0.6,2.3,46
102120,690,0.6,2.3,46
102350,230,0.6,2.3,46
103040,690,0.6,2.3,46
103270,230,0.6,2.3,46
103960,690,0.6,2.3,46
104190,230,0.6,2.3,46
104880,690,0.6,2.3,46
105110,230,0.6,2.3,46
105800,690,0.6,2.3,46
106030,230,0.6,2.3,46
106720,690,0.6,2.3,46
106950,230,0.6,2.3,46
107640,690,0.6,2.3,46
107870,230,0.6,2.3,46
108560,690,0.6,2.3,46
108790,230,0.6,2.3,46
109480,690,0.6,2.3,46
109710,230,0.6,2.3,46
110400,690,0.6,2.3,46
110630,230,0.6,2.3,46
111320,690,0.6,2.3,46
111550,230,0.6,2.3,46
112240,690,0.6,2.3,46
112470,230,0.6,2.3,46
113160,690,0.6,2.3,46
113390,230,0.6,2.3,46
114080,690,0.6,2.3,46
114310,230,0.6,2.3,46
115000,690,0.6,2.3,46
115230,230,0.6,2.3,46
115920,690,0.6,2.3,46
116150,230,0.6,2.3,46
116840,690,0.6,2.3,46
117070,230,0.6,2.3,46
117760,690,0.6,2.3,46
117990,230,0.6,2.3,46
118680,690,0.6,2.3,46
118910,230,0.6,2.3,46
119600,690,0.6,2.3,46
119830,230,0.6,2.3,46
120520,690,0.6,2.3,46
120750,230,0.6,2.3,46
121440,690,0.6,2.3,46
121670,230,0.6,2.3,46
122360,690,0.6,2.3,46
122590,230,0.6,2.3,46
123280,690,0.6,2.3,46
123510,230,0.6,2.3,46
124200,690,0.6,2.3,46
124430,230,0.6,2.3,46
125120,690,0.6,2.3,46
125350,230,0.6,2.3,46
126040,690,0.6,2.3,46
126270,230,0.6,2.3,46
126960,690,0.6,2.3,46
127190,230,0.6,2.3,46
127880,690,0.6,2.3,46
128110,230,0.6,2.3,46
128800,690,0.6,2.3,46
129030,230,0.6,2.3,46
129720,690,0.6,2.3,46
129950,230,0.6,2.3,46
130640,690,0.6,2.3,46
130870,230,0.6,2.3,46
131560,690,0.6,2.3,46
131790,230,0.6,2.3,46
132480,690,0.6,2.3,46
132710,230,0.6,2.3,46
133400,690,0.6,2.3,46
133630,230,0.6,2.3,46
134320,690,0.6,2.3,46
134550,230,0.6,2.3,46
135240,690,0.6,2.3,46
135470,230,0.6,2.3,46
136160,690,0.6,2.3,46
136390,230,0.6,2.3,46
137080,690,0.6,2.3,46
137310,230,0.6,2.3,46
138000,690,0.6,2.3,46
138230,230,0.6,2.3,46
138920,690,0.6,2.3,46
139150,230,0.6,2.3,46
139840,690,0.6,2.3,46
140070,230,0.6,2.3,46
140760,690,0.6,2.3,46
140990,230,0.6,2.3,46
141680,690,0.6,2.3,46
141910,230,0.6,2.3,46
142600,690,0.6,2.3,46
142830,230,0.6,2.3,46
143520,690,0.6,2.3,46
143750,230,0.6,2.3,46
144440,690,0.6,2.3,46
144670,230,0.6,2.3,46
145360,690,0.6,2.3,46
145590,230,0.6,2.3,46
146280,690,0.6,2.3,46
146510,230,0.6,2.3,46
147200,690,0.6,2.3,46
147430,230,0.6,2.3,46
148120,690,0.6,2.3,46
148350,230,0.6,2.3,46
149040,690,0.6,2.3,46
149270,230,0.6,2.3,46
149960,690,0.6,2.3,46
150190,230,0.6,2.3,46
150880,690,0.6,2.3,46
151110,230,0.6,2.3,46
151800,690,0.6,2.3,46
152030,230,0.6,2.3,46
