Time of Arrival,Delta Time of Arrival,Pulse Width,Power,Angle
69,0,0.4,1.7,34
138,69,0.4,1.7,34
207,69,0.4,1.7,34
276,69,0.4,1.7,34
345,69,0.4,1.7,34
414,69,0.4,1.7,34
483,69,0.4,1.7,34
552,69,0.4,1.7,34
621,69,0.4,1.7,34
690,69,0.4,1.7,34
759,69,0.4,1.7,34
828,69,0.4,1.7,34
897,69,0.4,1.7,34
966,69,0.4,1.7,34
1035,69,0.4,1.7,34
1104,69,0.4,1.7,34
1173,69,0.4,1.7,34
1242,69,0.4,1.7,34
1311,69,0.4,1.7,34
1380,69,0.4,1.7,34
1449,69,0.4,1.7,34
1518,69,0.4,1.7,34
1587,69,0.4,1.7,34
1656,69,0.4,1.7,34
1725,69,0.4,1.7,34
1794,69,0.4,1.7,34
1863,69,0.4,1.7,34
1932,69,0.4,1.7,34
2001,69,0.4,1.7,34
2070,69,0.4,1.7,34
2231,161,0.4,1.7,34
2392,161,0.4,1.7,34
2553,161,0.4,1.7,34
2714,161,0.4,1.7,34
2875,161,0.4,1.7,34
3036,161,0.4,1.7,34
3197,161,0.4,1.7,34
3358,161,0.4,1.7,34
3519,161,0.4,1.7,34
3680,161,0.4,1.7,34
3841,161,0.4,1.7,34
4002,161,0.4,1.7,34
4163,161,0.4,1.7,34
4324,161,0.4,1.7,34
4485,161,0.4,1.7,34
4646,161,0.4,1.7,34
4807,161,0.4,1.7,34
4968,161,0.4,1.7,34
5129,161,0.4,1.7,34
5290,161,0.4,1.7,34
5451,161,0.4,1.7,34
5612,161,0.4,1.7,34
5773,161,0.4,1.7,34
5934,161,0.4,1.7,34
6095,161,0.4,1.7,34
6256,161,0.4,1.7,34
6417,161,0.4,1.7,34
6578,161,0.4,1.7,34
6739,161,0.4,1.7,34
6900,161,0.4,1.7,34
6946,46,0.4,1.7,34
6992,46,0.4,1.7,34
7038,46,0.4,1.7,34
7084,46,0.4,1.7,34
7130,46,0.4,1.7,34
7176,46,0.4,1.7,34
7222,46,0.4,1.7,34
7268,46,0.4,1.7,34
7314,46,0.4,1.7,34
7360,46,0.4,1.7,34
7406,46,0.4,1.7,34
7452,46,0.4,1.7,34
7498,46,0.4,1.7,34
7544,46,0.4,1.7,34
7590,46,0.4,1.7,34
7636,46,0.4,1.7,34
7682,46,0.4,1.7,34
7728,46,0.4,1.7,34
7774,46,0.4,1.7,34
7820,46,0.4,1.7,34
7866,46,0.4,1.7,34
7912,46,0.4,1.7,34
7958,46,0.4,1.7,34
8004,46,0.4,1.7,34
8050,46,0.4,1.7,34
8096,46,0.4,1.7,34
8142,46,0.4,1.7,34
8188,46,0.4,1.7,34
8234,46,0.4,1.7,34
8280,46,0.4,1.7,34
8602,322,0.4,1.7,34
8924,322,0.4,1.7,34
9246,322,0.4,1.7,34
9568,322,0.4,1.7,34
9890,322,0.4,1.7,34
10212,322,0.4,1.7,34
10534,322,0.4,1.7,34
10856,322,0.4,1.7,34
11178,322,0.4,1.7,34
11500,322,0.4,1.7,34
11822,322,0.4,1.7,34
12144,322,0.4,1.7,34
12466,322,0.4,1.7,34
12788,322,0.4,1.7,34
13110,322,0.4,1.7,34
13432,322,0.4,1.7,34
13754,322,0.4,1.7,34
14076,322,0.4,1.7,34
14398,322,0.4,1.7,34
14720,322,0.4,1.7,34
15042,322,0.4,1.7,34
15364,322,0.4,1.7,34
15686,322,0.4,1.7,34
16008,322,0.4,1.7,34
16330,322,0.4,1.7,34
16652,322,0.4,1.7,34
16974,322,0.4,1.7,34
17296,322,0.4,1.7,34
17618,322,0.4,1.7,34
17940,322,0.4,1.7,34
18055,115,0.4,1.7,34
18170,115,0.4,1.7,34
18285,115,0.4,1.7,34
18400,115,0.4,1.7,34
18515,115,0.4,1.7,34
18630,115,0.4,1.7,34
18745,115,0.4,1.7,34
18860,115,0.4,1.7,34
18975,115,0.4,1.7,34
19090,115,0.4,1.7,34
19205,115,0.4,1.7,34
19320,115,0.4,1.7,34
19435,115,0.4,1.7,34
19550,115,0.4,1.7,34
19665,115,0.4,1.7,34
19780,115,0.4,1.7,34
19895,115,0.4,1.7,34
20010,115,0.4,1.7,34
20125,115,0.4,1.7,34
20240,115,0.4,1.7,34
20355,115,0.4,1.7,34
20470,115,0.4,1.7,34
20585,115,0.4,1.7,34
20700,115,0.4,1.7,34
20815,115,0.4,1.7,34
20930,115,0.4,1.7,34
21045,115,0.4,1.7,34
21160,115,0.4,1.7,34
21275,115,0.4,1.7,34
21390,115,0.4,1.7,34
21459,69,0.4,1.7,34
21528,69,0.4,1.7,34
21597,69,0.4,1.7,34
21666,69,0.4,1.7,34
21735,69,0.4,1.7,34
21804,69,0.4,1.7,34
21873,69,0.4,1.7,34
21942,69,0.4,1.7,34
22011,69,0.4,1.7,34
22080,69,0.4,1.7,34
22149,69,0.4,1.7,34
22218,69,0.4,1.7,34
22287,69,0.4,1.7,34
22356,69,0.4,1.7,34
22425,69,0.4,1.7,34
22494,69,0.4,1.7,34
22563,69,0.4,1.7,34
22632,69,0.4,1.7,34
22701,69,0.4,1.7,34
22770,69,0.4,1.7,34
22839,69,0.4,1.7,34
22908,69,0.4,1.7,34
22977,69,0.4,1.7,34
23046,69,0.4,1.7,34
23115,69,0.4,1.7,34
23184,69,0.4,1.7,34
23253,69,0.4,1.7,34
23322,69,0.4,1.7,34
23391,69,0.4,1.7,34
23460,69,0.4,1.7,34
23621,161,0.4,1.7,34
23782,161,0.4,1.7,34
23943,161,0.4,1.7,34
24104,161,0.4,1.7,34
24265,161,0.4,1.7,34
24426,161,0.4,1.7,34
24587,161,0.4,1.7,34
24748,161,0.4,1.7,34
24909,161,0.4,1.7,34
25070,161,0.4,1.7,34
25231,161,0.4,1.7,34
25392,161,0.4,1.7,34
25553,161,0.4,1.7,34
25714,161,0.4,1.7,34
25875,161,0.4,1.7,34
26036,161,0.4,1.7,34
26197,161,0.4,1.7,34
26358,161,0.4,1.7,34
26519,161,0.4,1.7,34
26680,161,0.4,1.7,34
26841,161,0.4,1.7,34
27002,161,0.4,1.7,34
27163,161,0.4,1.7,34
27324,161,0.4,1.7,34
27485,161,0.4,1.7,34
27646,161,0.4,1.7,34
27807,161,0.4,1.7,34
27968,161,0.4,1.7,34
28129,161,0.4,1.7,34
28290,161,0.4,1.7,34
28336,46,0.4,1.7,34
28382,46,0.4,1.7,34
28428,46,0.4,1.7,34
28474,46,0.4,1.7,34
28520,46,0.4,1.7,34
28566,46,0.4,1.7,34
28612,46,0.4,1.7,34
28658,46,0.4,1.7,34
28704,46,0.4,1.7,34
28750,46,0.4,1.7,34
28796,46,0.4,1.7,34
28842,46,0.4,1.7,34
28888,46,0.4,1.7,34
28934,46,0.4,1.7,34
28980,46,0.4,1.7,34
29026,46,0.4,1.7,34
29072,46,0.4,1.7,34
29118,46,0.4,1.7,34
29164,46,0.4,1.7,34
29210,46,0.4,1.7,34
29256,46,0.4,1.7,34
29302,46,0.4,1.7,34
29348,46,0.4,1.7,34
29394,46,0.4,1.7,34
29440,46,0.4,1.7,34
29486,46,0.4,1.7,34
29532,46,0.4,1.7,34
29578,46,0.4,1.7,34
29624,46,0.4,1.7,34
29670,46,0.4,1.7,34
29992,322,0.4,1.7,34
30314,322,0.4,1.7,34
30636,322,0.4,1.7,34
30958,322,0.4,1.7,34
31280,322,0.4,1.7,34
31602,322,0.4,1.7,34
31924,322,0.4,1.7,34
32246,322,0.4,1.7,34
32568,322,0.4,1.7,34
32890,322,0.4,1.7,34
33212,322,0.4,1.7,34
33534,322,0.4,1.7,34
33856,322,0.4,1.7,34
34178,322,0.4,1.7,34
34500,322,0.4,1.7,34
34822,322,0.4,1.7,34
35144,322,0.4,1.7,34
35466,322,0.4,1.7,34
35788,322,0.4,1.7,34
36110,322,0.4,1.7,34
36432,322,0.4,1.7,34
36754,322,0.4,1.7,34
37076,322,0.4,1.7,34
37398,322,0.4,1.7,34
37720,322,0.4,1.7,34
38042,322,0.4,1.7,34
38364,322,0.4,1.7,34
38686,322,0.4,1.7,34
39008,322,0.4,1.7,34
39330,322,0.4,1.7,34
39445,115,0.4,1.7,34
39560,115,0.4,1.7,34
39675,115,0.4,1.7,34
39790,115,0.4,1.7,34
39905,115,0.4,1.7,34
40020,115,0.4,1.7,34
40135,115,0.4,1.7,34
40250,115,0.4,1.7,34
40365,115,0.4,1.7,34
40480,115,0.4,1.7,34
40595,115,0.4,1.7,34
40710,115,0.4,1.7,34
40825,115,0.4,1.7,34
40940,115,0.4,1.7,34
41055,115,0.4,1.7,34
41170,115,0.4,1.7,34
41285,115,0.4,1.7,34
41400,115,0.4,1.7,34
41515,115,0.4,1.7,34
41630,115,0.4,1.7,34
41745,115,0.4,1.7,34
41860,115,0.4,1.7,34
41975,115,0.4,1.7,34
42090,115,0.4,1.7,34
42205,115,0.4,1.7,34
42320,115,0.4,1.7,34
42435,115,0.4,1.7,34
42550,115,0.4,1.7,34
42665,115,0.4,1.7,34
42780,115,0.4,1.7,34
42849,69,0.4,1.7,34
42918,69,0.4,1.7,34
42987,69,0.4,1.7,34
43056,69,0.4,1.7,34
43125,69,0.4,1.7,34
43194,69,0.4,1.7,34
43263,69,0.4,1.7,34
43332,69,0.4,1.7,34
43401,69,0.4,1.7,34
43470,69,0.4,1.7,34
43539,69,0.4,1.7,34
43608,69,0.4,1.7,34
43677,69,0.4,1.7,34
43746,69,0.4,1.7,34
43815,69,0.4,1.7,34
43884,69,0.4,1.7,34
43953,69,0.4,1.7,34
44022,69,0.4,1.7,34
44091,69,0.4,1.7,34
44160,69,0.4,1.7,34
44229,69,0.4,1.7,34
44298,69,0.4,1.7,34
44367,69,0.4,1.7,34
44436,69,0.4,1.7,34
44505,69,0.4,1.7,34
44574,69,0.4,1.7,34
44643,69,0.4,1.7,34
44712,69,0.4,1.7,34
44781,69,0.4,1.7,34
44850,69,0.4,1.7,34
45011,161,0.4,1.7,34
45172,161,0.4,1.7,34
45333,161,0.4,1.7,34
45494,161,0.4,1.7,34
45655,161,0.4,1.7,34
45816,161,0.4,1.7,34
45977,161,0.4,1.7,34
46138,161,0.4,1.7,34
46299,161,0.4,1.7,34
46460,161,0.4,1.7,34
46621,161,0.4,1.7,34
46782,161,0.4,1.7,34
46943,161,0.4,1.7,34
47104,161,0.4,1.7,34
47265,161,0.4,1.7,34
47426,161,0.4,1.7,34
47587,161,0.4,1.7,34
47748,161,0.4,1.7,34
47909,161,0.4,1.7,34
48070,161,0.4,1.7,34
48231,161,0.4,1.7,34
