Time of Arrival,Delta Time of Arrival,Pulse Width,Power,Angle
162,0,0.3,1.4,57
459,297,0.3,1.4,57
972,513,0.3,1.4,57
1593,621,0.3,1.4,57
1755,162,0.3,1.4,57
2052,297,0.3,1.4,57
2565,513,0.3,1.4,57
3186,621,0.3,1.4,57
3348,162,0.3,1.4,57
3645,297,0.3,1.4,57
4158,513,0.3,1.4,57
4779,621,0.3,1.4,57
4941,162,0.3,1.4,57
5238,297,0.3,1.4,57
5751,513,0.3,1.4,57
6372,621,0.3,1.4,57
6534,162,0.3,1.4,57
6831,297,0.3,1.4,57
7344,513,0.3,1.4,57
7965,621,0.3,1.4,57
8127,162,0.3,1.4,57
8424,297,0.3,1.4,57
8937,513,0.3,1.4,57
9558,621,0.3,1.4,57
9720,162,0.3,1.4,57
10017,297,0.3,1.4,57
10530,513,0.3,1.4,57
11151,621,0.3,1.4,57
11313,162,0.3,1.4,57
11610,297,0.3,1.4,57
12123,513,0.3,1.4,57
12744,621,0.3,1.4,57
12906,162,0.3,1.4,57
13203,297,0.3,1.4,57
13716,513,0.3,1.4,57
14337,621,0.3,1.4,57
14499,162,0.3,1.4,57
14796,297,0.3,1.4,57
15309,513,0.3,1.4,57
15930,621,0.3,1.4,57
16092,162,0.3,1.4,57
16389,297,0.3,1.4,57
16902,513,0.3,1.4,57
17523,621,0.3,1.4,57
17685,162,0.3,1.4,57
17982,297,0.3,1.4,57
18495,513,0.3,1.4,57
19116,621,0.3,1.4,57
19278,162,0.3,1.4,57
19575,297,0.3,1.4,57
20088,513,0.3,1.4,57
20709,621,0.3,1.4,57
20871,162,0.3,1.4,57
21168,297,0.3,1.4,57
21681,513,0.3,1.4,57
22302,621,0.3,1.4,57
22464,162,0.3,1.4,57
22761,297,0.3,1.4,57
23274,513,0.3,1.4,57
23895,621,0.3,1.4,57
24057,162,0.3,1.4,57
24354,297,0.3,1.4,57
24867,513,0.3,1.4,57
25488,621,0.3,1.4,57
25650,162,0.3,1.4,57
25947,297,0.3,1.4,57
26460,513,0.3,1.4,57
27081,621,0.3,1.4,57
27243,162,0.3,1.4,57
27540,297,0.3,1.4,57
28053,513,0.3,1.4,57
28674,621,0.3,1.4,57
28836,162,0.3,1.4,57
29133,297,0.3,1.4,57
29646,513,0.3,1.4,57
30267,621,0.3,1.4,57
30429,162,0.3,1.4,57
30726,297,0.3,1.4,57
31239,513,0.3,1.4,57
31860,621,0.3,1.4,57
32022,162,0.3,1.4,57
32319,297,0.3,1.4,57
32832,513,0.3,1.4,57
33453,621,0.3,1.4,57
33615,162,0.3,1.4,57
33912,297,0.3,1.4,57
34425,513,0.3,1.4,57
35046,621,0.3,1.4,57
35208,162,0.3,1.4,57
35505,297,0.3,1.4,57
36018,513,0.3,1.4,57
36639,621,0.3,1.4,57
36801,162,0.3,1.4,57
37098,297,0.3,1.4,57
37611,513,0.3,1.4,57
38232,621,0.3,1.4,57
38394,162,0.3,1.4,57
38691,297,0.3,1.4,57
39204,513,0.3,1.4,57
39825,621,0.3,1.4,57
39987,162,0.3,1.4,57
40284,297,0.3,1.4,57
40797,513,0.3,1.4,57
41418,621,0.3,1.4,57
41580,162,0.3,1.4,57
41877,297,0.3,1.4,57
42390,513,0.3,1.4,57
43011,621,0.3,1.4,57
43173,162,0.3,1.4,57
43470,297,0.3,1.4,57
43983,513,0.3,1.4,57
44604,621,0.3,1.4,57
44766,162,0.3,1.4,57
45063,297,0.3,1.4,57
45576,513,0.3,1.4,57
46197,621,0.3,1.4,57
46359,162,0.3,1.4,57
46656,297,0.3,1.4,57
47169,513,0.3,1.4,57
47790,621,0.3,1.4,57
47952,162,0.3,1.4,57
48249,297,0.3,1.4,57
48762,513,0.3,1.4,57
49383,621,0.3,1.4,57
49545,162,0.3,1.4,57
49842,297,0.3,1.4,57
50355,513,0.3,1.4,57
50976,621,0.3,1.4,57
51138,162,0.3,1.4,57
51435,297,0.3,1.4,57
51948,513,0.3,1.4,57
52569,621,0.3,1.4,57
52731,162,0.3,1.4,57
53028,297,0.3,1.4,57
53541,513,0.3,1.4,57
54162,621,0.3,1.4,57
54324,162,0.3,1.4,57
54621,297,0.3,1.4,57
55134,513,0.3,1.4,57
55755,621,0.3,1.4,57
55917,162,0.3,1.4,57
56214,297,0.3,1.4,57
56727,513,0.3,1.4,57
57348,621,0.3,1.4,57
57510,162,0.3,1.4,57
57807,297,0.3,1.4,57
58320,513,0.3,1.4,57
58941,621,0.3,1.4,57
59103,162,0.3,1.4,57
59400,297,0.3,1.4,57
59913,513,0.3,1.4,57
60534,621,0.3,1.4,57
60696,162,0.3,1.4,57
60993,297,0.3,1.4,57
61506,513,0.3,1.4,57
62127,621,0.3,1.4,57
62289,162,0.3,1.4,57
62586,297,0.3,1.4,57
63099,513,0.3,1.4,57
63720,621,0.3,1.4,57
63882,162,0.3,1.4,57
64179,297,0.3,1.4,57
64692,513,0.3,1.4,57
65313,621,0.3,1.4,57
65475,162,0.3,1.4,57
65772,297,0.3,1.4,57
66285,513,0.3,1.4,57
66906,621,0.3,1.4,57
67068,162,0.3,1.4,57
67365,297,0.3,1.4,57
67878,513,0.3,1.4,57
68499,621,0.3,1.4,57
68661,162,0.3,1.4,57
68958,297,0.3,1.4,57
69471,513,0.3,1.4,57
70092,621,0.3,1.4,57
70254,162,0.3,1.4,57
70551,297,0.3,1.4,57
71064,513,0.3,1.4,57
71685,621,0.3,1.4,57
71847,162,0.3,1.4,57
72144,297,0.3,1.4,57
72657,513,0.3,1.4,57
73278,621,0.3,1.4,57
73440,162,0.3,1.4,57
73737,297,0.3,1.4,57
74250,513,0.3,1.4,57
74871,621,0.3,1.4,57
75033,162,0.3,1.4,57
75330,297,0.3,1.4,57
75843,513,0.3,1.4,57
76464,621,0.3,1.4,57
76626,162,0.3,1.4,57
76923,297,0.3,1.4,57
77436,513,0.3,1.4,57
78057,621,0.3,1.4,57
78219,162,0.3,1.4,57
78516,297,0.3,1.4,57
79029,513,0.3,1.4,57
79650,621,0.3,1.4,57
79812,162,0.3,1.4,57
80109,297,0.3,1.4,57
80622,513,0.3,1.4,57
81243,621,0.3,1.4,57
81405,162,0.3,1.4,57
81702,297,0.3,1.4,57
82215,513,0.3,1.4,57
82836,621,0.3,1.4,57
82998,162,0.3,1.4,57
83295,297,0.3,1.4,57
83808,513,0.3,1.4,57
84429,621,0.3,1.4,57
84591,162,0.3,1.4,57
84888,297,0.3,1.4,57
85401,513,0.3,1.4,57
86022,621,0.3,1.4,57
86184,162,0.3,1.4,57
86481,297,0.3,1.4,57
86994,513,0.3,1.4,57
87615,621,0.3,1.4,57
87777,162,0.3,1.4,57
88074,297,0.3,1.4,57
88587,513,0.3,1.4,57
89208,621,0.3,1.4,57
89370,162,0.3,1.4,57
89667,297,0.3,1.4,57
90180,513,0.3,1.4,57
90801,621,0.3,1.4,57
90963,162,0.3,1.4,57
91260,297,0.3,1.4,57
91773,513,0.3,1.4,57
92394,621,0.3,1.4,57
92556,162,0.3,1.4,57
92853,297,0.3,1.4,57
93366,513,0.3,1.4,57
93987,621,0.3,1.4,57
94149,162,0.3,1.4,57
94446,297,0.3,1.4,57
94959,513,0.3,1.4,57
95580,621,0.3,1.4,57
95742,162,0.3,1.4,57
96039,297,0.3,1.4,57
96552,513,0.3,1.4,57
97173,621,0.3,1.4,57
97335,162,0.3,1.4,57
97632,297,0.3,1.4,57
98145,513,0.3,1.4,57
98766,621,0.3,1.4,57
98928,162,0.3,1.4,57
99225,297,0.3,1.4,57
99738,513,0.3,1.4,57
100359,621,0.3,1.4,57
100521,162,0.3,1.4,57
100818,297,0.3,1.4,57
101331,513,0.3,1.4,57
101952,621,0.3,1.4,57
102114,162,0.3,1.4,57
102411,297,0.3,1.4,57
102924,513,0.3,1.4,57
103545,621,0.3,1.4,57
103707,162,0.3,1.4,57
104004,297,0.3,1.4,57
104517,513,0.3,1.4,57
105138,621,0.3,1.4,57
105300,162,0.3,1.4,57
105597,297,0.3,1.4,57
106110,513,0.3,1.4,57
106731,621,0.3,1.4,57
106893,162,0.3,1.4,57
107190,297,0.3,1.4,57
107703,513,0.3,1.4,57
108324,621,0.3,1.4,57
108486,162,0.3,1.4,57
108783,297,0.3,1.4,57
109296,513,0.3,1.4,57
109917,621,0.3,1.4,57
110079,162,0.3,1.4,57
110376,297,0.3,1.4,57
110889,513,0.3,1.4,57
111510,621,0.3,1.4,57
111672,162,0.3,1.4,57
111969,297,0.3,1.4,57
112482,513,0.3,1.4,57
113103,621,0.3,1.4,57
113265,162,0.3,1.4,57
113562,297,0.3,1.4,57
114075,513,0.3,1.4,57
114696,621,0.3,1.4,57
114858,162,0.3,1.4,57
115155,297,0.3,1.4,57
115668,513,0.3,1.4,57
116289,621,0.3,1.4,57
116451,162,0.3,1.4,57
116748,297,0.3,1.4,57
117261,513,0.3,1.4,57
117882,621,0.3,1.4,57
118044,162,0.3,1.4,57
118341,297,0.3,1.4,57
118854,513,0.3,1.4,57
119475,621,0.3,1.4,57
119637,162,0.3,1.4,57
119934,297,0.3,1.4,57
120447,513,0.3,1.4,57
121068,621,0.3,1.4,57
121230,162,0.3,1.4,57
121527,297,0.3,1.4,57
122040,513,0.3,1.4,57
122661,621,0.3,1.4,57
122823,162,0.3,1.4,57
123120,297,0.3,1.4,57
123633,513,0.3,1.4,57
124254,621,0.3,1.4,57
124416,162,0.3,1.4,57
124713,297,0.3,1.4,57
125226,513,0.3,1.4,57
125847,621,0.3,1.4,57
126009,162,0.3,1.4,57
126306,297,0.3,1.4,57
126819,513,0.3,1.4,57
127440,621,0.3,1.4,57
127602,162,0.3,1.4,57
127899,297,0.3,1.4,57
128412,513,0.3,1.4,57
129033,621,0.3,1.4,57
129195,162,0.3,1.4,57
129492,297,0.3,1.4,57
130005,513,0.3,1.4,57
130626,621,0.3,1.4,57
130788,162,0.3,1.4,57
131085,297,0.3,1.4,57
131598,513,0.3,1.4,57
132219,621,0.3,1.4,57
132381,162,0.3,1.4,57
132678,297,0.3,1.4,57
133191,513,0.3,1.4,57
133812,621,0.3,1.4,57
133974,162,0.3,1.4,57
134271,297,0.3,1.4,57
134784,513,0.3,1.4,57
135405,621,0.3,1.4,57
135567,162,0.3,1.4,57
135864,297,0.3,1.4,57
136377,513,0.3,1.4,57
136998,621,0.3,1.4,57
137160,162,0.3,1.4,57
137457,297,0.3,1.4,57
137970,513,0.3,1.4,57
138591,621,0.3,1.4,57
138753,162,0.3,1.4,57
139050,297,0.3,1.4,57
139563,513,0.3,1.4,57
140184,621,0.3,1.4,57
140346,162,0.3,1.4,57
140643,297,0.3,1.4,57
141156,513,0.3,1.4,57
141777,621,0.3,1.4,57
141939,162,0.3,1.4,57
142236,297,0.3,1.4,57
142749,513,0.3,1.4,57
143370,621,0.3,1.4,57
143532,162,0.3,1.4,57
143829,297,0.3,1.4,57
144342,513,0.3,1.4,57
144963,621,0.3,1.4,57
145125,162,0.3,1.4,57
145422,297,0.3,1.4,57
145935,513,0.3,1.4,57
146556,621,0.3,1.4,57
146718,162,0.3,1.4,57
147015,297,0.3,1.4,57
147528,513,0.3,1.4,57
148149,621,0.3,1.4,57
148311,162,0.3,1.4,57
148608,297,0.3,1.4,57
149121,513,0.3,1.4,57
149742,621,0.3,1.4,57
149904,162,0.3,1.4,57
150201,297,0.3,1.4,57
150714,513,0.3,1.4,57
151335,621,0.3,1.4,57
151497,162,0.3,1.4,57
151794,297,0.3,1.4,57
152307,513,0.3,1.4,57
152928,621,0.3,1.4,57
153090,162,0.3,1.4,57
153387,297,0.3,1.4,57
153900,513,0.3,1.4,57
154521,621,0.3,1.4,57
154683,162,0.3,1.4,57
154980,297,0.3,1.4,57
155493,513,0.3,1.4,57
156114,621,0.3,1.4,57
156276,162,0.3,1.4,57
156573,297,0.3,1.4,57
157086,513,0.3,1.4,57
157707,621,0.3,1.4,57
157869,162,0.3,1.4,57
158166,297,0.3,1.4,57
